transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN01,08-10-2024 15:17,P2P,Entertainment,868,SUCCESS,26-35,18-25,Delhi,Axis,SBI,Android,4G,0,15,Tuesday,0
TXN02,11-04-2024 06:56,P2M,Grocery,1011,SUCCESS,26-35,26-35,Uttar Pradesh,ICICI,Axis,iOS,4G,0,6,Thursday,0
TXN03,02-04-2024 13:27,P2P,Grocery,477,SUCCESS,26-35,36-45,Karnataka,Yes Bank,PNB,Android,4G,0,13,Tuesday,0
TXN04,07-01-2024 10:09,P2P,Fuel,2784,SUCCESS,26-35,26-35,Delhi,ICICI,PNB,Android,5G,0,10,Sunday,1
TXN05,23-01-2024 19:04,P2P,Shopping,990,SUCCESS,26-35,18-25,Delhi,Axis,Yes Bank,iOS,WiFi,0,19,Tuesday,0
TXN06,07-10-2024 22:32,P2P,Food,91,SUCCESS,36-45,18-25,Karnataka,IndusInd,Yes Bank,Android,3G,0,22,Monday,0
TXN07,08-02-2024 10:25,P2P,Other,314,SUCCESS,36-45,18-25,Telangana,HDFC,IndusInd,Android,4G,0,10,Thursday,0
TXN08,27-10-2024 18:47,P2P,Utilities,264,SUCCESS,46-55,36-45,Maharashtra,Yes Bank,SBI,Android,5G,0,18,Sunday,1
TXN09,21-11-2024 09:39,P2P,Other,887,SUCCESS,46-55,36-45,Maharashtra,Kotak,HDFC,Android,4G,0,9,Thursday,0
TXN10,11-11-2024 15:58,P2M,Grocery,3260,SUCCESS,46-55,18-25,Delhi,SBI,HDFC,Android,4G,0,15,Monday,0
TXN11,07-04-2024 20:14,P2P,Food,587,SUCCESS,26-35,46-55,Karnataka,SBI,SBI,Android,4G,0,20,Sunday,1
TXN12,24-12-2024 10:44,P2M,Other,518,SUCCESS,26-35,18-25,Gujarat,Yes Bank,SBI,Android,4G,0,10,Tuesday,0
TXN13,16-11-2024 20:09,P2P,Transport,73,SUCCESS,26-35,18-25,Uttar Pradesh,Axis,Kotak,Android,4G,0,20,Saturday,1
TXN14,10-04-2024 00:51,Bill Payment,Grocery,430,SUCCESS,56+,36-45,Gujarat,Yes Bank,Yes Bank,Android,4G,0,0,Wednesday,0
TXN15,03-02-2024 12:35,P2P,Transport,544,SUCCESS,18-25,46-55,Uttar Pradesh,IndusInd,Axis,Android,5G,0,12,Saturday,1
TXN16,09-11-2024 15:21,P2M,Grocery,1346,SUCCESS,18-25,18-25,Rajasthan,SBI,SBI,Android,5G,0,15,Saturday,1
TXN17,25-01-2024 07:27,P2P,Food,171,SUCCESS,46-55,18-25,Delhi,HDFC,SBI,Android,5G,0,7,Thursday,0
TXN18,19-05-2024 18:38,P2M,Healthcare,189,SUCCESS,18-25,18-25,Gujarat,SBI,PNB,iOS,5G,0,18,Sunday,1
TXN19,11-11-2024 22:08,P2P,Healthcare,799,SUCCESS,26-35,18-25,Karnataka,ICICI,SBI,Android,4G,0,22,Monday,0
TXN20,13-06-2024 18:25,P2P,Utilities,450,SUCCESS,26-35,36-45,Tamil Nadu,Yes Bank,IndusInd,iOS,WiFi,0,18,Thursday,0
TXN21,19-05-2024 10:41,Bill Payment,Food,1341,SUCCESS,36-45,26-35,Karnataka,SBI,ICICI,Android,WiFi,0,10,Sunday,1
TXN22,02-11-2024 17:13,Recharge,Entertainment,280,SUCCESS,26-35,26-35,Maharashtra,SBI,PNB,Android,4G,0,17,Saturday,1
TXN23,18-10-2024 04:35,P2P,Shopping,397,SUCCESS,18-25,26-35,Delhi,Axis,SBI,Android,5G,0,4,Friday,0
TXN24,21-01-2024 07:57,P2M,Grocery,1847,SUCCESS,18-25,46-55,Gujarat,HDFC,Yes Bank,Android,5G,0,7,Sunday,1
TXN25,24-01-2024 10:43,Bill Payment,Grocery,690,SUCCESS,26-35,26-35,Tamil Nadu,Yes Bank,PNB,iOS,5G,0,10,Wednesday,0
TXN26,01-07-2024 12:01,Bill Payment,Entertainment,218,SUCCESS,18-25,36-45,Karnataka,Axis,Yes Bank,Android,4G,0,12,Monday,0
TXN27,28-08-2024 21:10,P2P,Food,1276,SUCCESS,18-25,18-25,Karnataka,Kotak,HDFC,Android,5G,0,21,Wednesday,0
TXN28,09-11-2024 18:49,P2P,Grocery,146,SUCCESS,26-35,36-45,Delhi,PNB,HDFC,iOS,4G,0,18,Saturday,1
TXN29,09-09-2024 15:24,P2P,Grocery,1755,SUCCESS,36-45,36-45,Delhi,SBI,IndusInd,Web,WiFi,0,15,Monday,0
TXN30,18-10-2024 17:43,Bill Payment,Transport,165,SUCCESS,18-25,26-35,Rajasthan,SBI,SBI,Android,4G,0,17,Friday,0
TXN31,20-12-2024 16:15,P2P,Healthcare,1495,SUCCESS,26-35,36-45,Gujarat,SBI,HDFC,Android,4G,0,16,Friday,0
TXN32,17-12-2024 16:45,P2P,Grocery,394,SUCCESS,18-25,18-25,Gujarat,Yes Bank,SBI,Android,5G,0,16,Tuesday,0
TXN33,11-05-2024 16:47,Recharge,Shopping,1693,SUCCESS,26-35,36-45,Telangana,SBI,IndusInd,Android,5G,0,16,Saturday,1
TXN34,25-05-2024 13:30,P2M,Food,144,SUCCESS,18-25,36-45,Maharashtra,PNB,PNB,Android,WiFi,0,13,Saturday,1
TXN35,23-02-2024 07:27,P2M,Fuel,1804,SUCCESS,36-45,26-35,Telangana,Axis,SBI,Android,4G,0,7,Friday,0
